id_livraison,id_commande,date_expedition,date_livraison,statut_livraison,transporteur
39,39,2019-06-17,2019-06-24,livrée,Rousseau
40,40,2020-03-02,2020-03-04,en cours,Barthelemy Vaillant SA
41,41,2021-10-31,2021-11-01,en attente,Fleury S.A.
42,42,2020-09-11,2020-09-18,en cours,Petit S.A.
43,43,2024-02-22,2024-02-24,livrée,Martel Adam et Fils
44,44,2022-04-27,2022-04-29,en cours,Daniel
45,45,2020-02-14,2020-02-19,livrée,Ruiz
46,46,2024-09-07,2024-09-13,en cours,Poirier Clerc S.A.S.
47,47,2022-07-29,2022-08-05,en attente,Lecomte Pascal S.A.S.
48,48,2019-06-08,2019-06-12,en attente,Martineau
49,49,2019-12-24,2019-12-27,en attente,Bodin et Fils
50,50,2020-12-21,2020-12-22,en cours,Ruiz
51,51,2020-06-14,2020-06-16,en cours,Pottier
52,52,2023-04-27,2023-04-29,en cours,Ollivier
53,53,2019-07-19,2019-07-24,livrée,Lopes et Fils
54,54,2022-04-02,2022-04-08,livrée,Lagarde et Fils
55,55,2021-07-28,2021-07-30,livrée,Guillou S.A.R.L.
56,56,2023-07-03,2023-07-06,en cours,Rodriguez S.A.R.L.
57,57,2024-12-28,2024-12-29,livrée,Seguin SARL
58,58,2019-08-31,2019-09-01,livrée,Camus Barre S.A.S.
59,59,2025-02-24,2025-03-01,en cours,Nguyen
60,60,2024-06-21,2024-06-23,livrée,Lopez
61,61,2022-09-12,2022-09-15,livrée,Antoine
62,62,2021-01-08,2021-01-10,en attente,Roussel
63,63,2025-03-18,2025-03-20,en cours,Renaud
64,64,2025-12-17,2025-12-24,livrée,Nicolas SARL
65,65,2019-07-04,2019-07-11,en cours,François Carre et Fils
66,66,2023-07-25,2023-07-28,en cours,Fouquet
67,67,2024-09-08,2024-09-09,livrée,Legros Diaz SA
68,68,2023-07-06,2023-07-13,en attente,Guyon
69,69,2025-05-13,2025-05-15,en cours,Joubert
70,70,2023-10-30,2023-11-04,en cours,Delannoy Gallet S.A.R.L.
71,71,2019-05-13,2019-05-19,en attente,Poulain Schneider S.A.R.L.
72,72,2025-11-16,2025-11-17,en attente,Thierry
73,73,2025-07-02,2025-07-08,en attente,Thomas
74,74,2025-08-21,2025-08-24,en attente,Gros
75,75,2023-01-31,2023-02-05,en cours,Letellier
76,76,2025-03-27,2025-03-30,en cours,Arnaud
77,77,2025-07-08,2025-07-14,en cours,Boucher
78,78,2019-10-18,2019-10-24,livrée,Weiss
79,79,2023-04-26,2023-05-01,en attente,Henry
80,80,2021-04-22,2021-04-24,en attente,Leduc
81,81,2019-09-20,2019-09-26,en attente,Mahe
82,82,2022-02-25,2022-02-26,livrée,Morel
83,83,2019-08-16,2019-08-18,en cours,Joseph
84,84,2020-07-25,2020-07-29,en cours,Mathieu
85,85,2020-05-13,2020-05-16,en attente,Gimenez
86,86,2021-09-28,2021-10-02,en attente,Gillet Morel SA
87,87,2021-01-12,2021-01-17,livrée,Diaz S.A.
88,88,2021-07-07,2021-07-08,livrée,Le Roux SA
89,89,2022-05-22,2022-05-29,en cours,Gallet S.A.S.
90,90,2020-09-26,2020-10-03,en attente,Maillet
91,91,2019-09-14,2019-09-17,en attente,Gallet
92,92,2020-07-23,2020-07-28,en attente,Guichard
93,93,2019-05-16,2019-05-17,en cours,Delahaye SARL
94,94,2020-02-14,2020-02-20,livrée,Blanchet S.A.
95,95,2022-12-13,2022-12-19,livrée,Bailly
96,96,2019-09-07,2019-09-13,en attente,Royer
97,97,2023-02-25,2023-03-04,livrée,Bouvet et Fils
98,98,2024-09-26,2024-10-01,en attente,Vincent et Fils
99,99,2025-06-13,2025-06-17,en attente,Grondin et Fils
100,100,2019-11-29,2019-12-06,en cours,Olivier
101,101,2019-06-10,2019-06-16,en attente,Bodin
102,102,2023-04-22,2023-04-24,en attente,Samson
103,103,2020-10-11,2020-10-15,en cours,Lopes
104,104,2023-09-15,2023-09-21,en attente,Gauthier
105,105,2025-09-19,2025-09-22,en attente,Julien S.A.S.
106,106,2023-05-26,2023-05-29,en attente,Normand Gautier SA
107,107,2022-12-17,2022-12-21,en cours,Pons
108,108,2023-06-28,2023-07-05,en attente,Sauvage S.A.
109,109,2020-12-10,2020-12-12,en attente,Sauvage Ribeiro S.A.S.
110,110,2021-04-07,2021-04-09,en attente,Carre S.A.S.
111,111,2024-02-09,2024-02-10,livrée,Joseph Pages S.A.S.
112,112,2020-04-20,2020-04-21,en attente,Traore et Fils
113,113,2020-11-04,2020-11-10,en attente,Hamon S.A.S.
114,114,2024-05-26,2024-05-29,en attente,Pruvost S.A.R.L.
115,115,2020-02-16,2020-02-18,en cours,Hoarau Chartier S.A.S.
116,116,2021-03-17,2021-03-24,en cours,Robert S.A.
117,117,2025-09-14,2025-09-19,en attente,Camus
118,118,2023-01-22,2023-01-23,en cours,Gosselin SARL
119,119,2024-04-28,2024-05-05,en attente,Boyer Pascal et Fils
120,120,2020-03-28,2020-03-29,livrée,Maury S.A.
121,121,2022-12-23,2022-12-28,livrée,Lacroix
122,122,2025-09-23,2025-09-25,en attente,Letellier S.A.S.
123,123,2023-09-17,2023-09-20,en attente,Teixeira
124,124,2020-11-06,2020-11-10,en attente,Maury SA
125,125,2019-07-07,2019-07-10,livrée,Pelletier S.A.S.
126,126,2019-09-01,2019-09-05,en cours,Delorme
127,127,2021-10-15,2021-10-21,en attente,Launay
128,128,2019-09-04,2019-09-05,en attente,Garnier
129,129,2023-05-24,2023-05-30,en attente,Blot
130,130,2022-07-18,2022-07-20,en cours,Reynaud Weiss et Fils
131,131,2023-11-16,2023-11-20,en attente,Deschamps
132,132,2020-01-11,2020-01-15,en attente,Vaillant
133,133,2019-04-14,2019-04-17,en attente,Michaud et Fils
134,134,2023-06-07,2023-06-14,livrée,Guillet Lombard SA
135,135,2023-11-09,2023-11-10,en attente,Lopes
136,136,2023-08-21,2023-08-25,en attente,Guyot
137,137,2023-04-02,2023-04-09,en cours,Girard
138,138,2024-12-05,2024-12-09,livrée,Bonneau
139,139,2025-01-30,2025-02-01,en cours,Meunier Lucas SA
140,140,2025-07-07,2025-07-11,livrée,Deschamps
141,141,2021-07-30,2021-08-03,en cours,Seguin et Fils
142,142,2019-02-03,2019-02-09,en attente,Fleury
143,143,2025-06-27,2025-07-03,en attente,Raynaud
144,144,2020-09-12,2020-09-17,en attente,Lévêque S.A.
145,145,2019-03-17,2019-03-24,en attente,Michaud Ruiz S.A.
146,146,2023-12-12,2023-12-13,en cours,Joubert S.A.S.
147,147,2024-04-23,2024-04-26,en cours,Neveu
148,148,2024-12-31,2025-01-06,en attente,Richard
149,149,2025-04-18,2025-04-22,en cours,Charrier Marchand SA
150,150,2022-05-26,2022-05-30,livrée,Guyot Launay S.A.R.L.
151,151,2019-05-01,2019-05-03,en cours,Legrand
152,152,2022-06-27,2022-07-01,livrée,Dubois S.A.
153,153,2024-08-01,2024-08-08,en attente,Morvan Perrin S.A.R.L.
154,154,2024-05-23,2024-05-24,en attente,Joly
155,155,2022-07-07,2022-07-12,en cours,Weiss
156,156,2022-08-10,2022-08-12,livrée,Dupré Martin S.A.S.
157,157,2022-07-09,2022-07-11,livrée,Guichard
158,158,2024-10-22,2024-10-27,en attente,Guillou
159,159,2023-06-22,2023-06-26,en attente,Rémy SA
160,160,2022-09-26,2022-10-02,livrée,Martel SA
161,161,2019-11-12,2019-11-16,en cours,Laurent Leroy et Fils
162,162,2025-06-11,2025-06-18,livrée,Benoit Laine SARL
163,163,2021-05-20,2021-05-22,livrée,Clément S.A.R.L.
164,164,2023-08-12,2023-08-16,en attente,Brun SARL
165,165,2020-07-08,2020-07-12,livrée,Masson
166,166,2020-12-16,2020-12-17,en attente,Leclerc S.A.
167,167,2024-07-27,2024-07-28,en attente,Humbert S.A.S.
168,168,2022-03-09,2022-03-11,en cours,Duval Le Goff et Fils
169,169,2022-10-27,2022-11-03,en cours,Baudry SA
170,170,2025-10-28,2025-11-04,livrée,Baudry Brunel S.A.
171,171,2019-08-13,2019-08-20,livrée,Traore et Fils
172,172,2023-04-12,2023-04-15,en cours,Weber
173,173,2020-09-21,2020-09-27,en attente,Costa Bègue S.A.R.L.
174,174,2019-01-15,2019-01-21,livrée,Fabre
175,175,2021-09-03,2021-09-07,en cours,Verdier SA
176,176,2021-10-17,2021-10-22,livrée,Roussel Regnier et Fils
177,177,2019-01-31,2019-02-01,en attente,Bouvet
178,178,2021-07-23,2021-07-27,en attente,Bazin
179,179,2022-05-12,2022-05-15,livrée,Le Gall Schmitt S.A.S.
180,180,2023-03-28,2023-04-03,en cours,Berger
181,181,2025-03-06,2025-03-11,livrée,Traore S.A.
182,182,2021-03-05,2021-03-07,en attente,Ferreira SA
183,183,2022-09-08,2022-09-09,en cours,Dufour et Fils
184,184,2021-01-01,2021-01-04,en attente,Schneider
185,185,2025-11-14,2025-11-16,livrée,Laine SA
186,186,2022-09-14,2022-09-20,en attente,Legrand
187,187,2021-01-16,2021-01-20,livrée,Lefèvre
188,188,2024-03-04,2024-03-10,en attente,Rey S.A.S.
189,189,2023-11-10,2023-11-17,en cours,Poirier Laurent S.A.R.L.
190,190,2019-06-16,2019-06-17,livrée,Gonzalez Collet S.A.R.L.
191,191,2021-07-18,2021-07-23,livrée,Fournier S.A.R.L.
192,192,2022-03-17,2022-03-18,en attente,Blot Masse S.A.R.L.
193,193,2025-05-26,2025-05-29,en cours,Maillot
194,194,2021-03-09,2021-03-14,en cours,Clerc
195,195,2025-06-22,2025-06-26,livrée,Leclercq S.A.S.
196,196,2023-12-10,2023-12-11,en attente,Sauvage S.A.
197,197,2021-05-11,2021-05-14,en attente,Prévost Diallo SARL
198,198,2024-09-28,2024-10-05,en cours,Auger
199,199,2021-12-16,2021-12-17,livrée,Moreno Weber SA
200,200,2025-02-03,2025-02-07,en attente,Dufour
201,201,2023-09-15,2023-09-20,livrée,Maréchal SARL
202,202,2023-06-07,2023-06-08,livrée,Morin Guillot S.A.S.
203,203,2024-07-15,2024-07-17,en cours,Aubert
204,204,2023-09-20,2023-09-24,livrée,Riou
205,205,2021-03-24,2021-03-30,livrée,Perrier et Fils
206,206,2022-05-16,2022-05-21,livrée,Morin
207,207,2024-06-02,2024-06-06,en cours,Lebon
208,208,2025-05-09,2025-05-13,livrée,Garcia
209,209,2022-06-02,2022-06-04,en attente,Allard SA
210,210,2019-01-20,2019-01-26,livrée,Barbe Lombard S.A.R.L.
211,211,2022-01-23,2022-01-24,en attente,Delannoy SARL
212,212,2019-07-21,2019-07-27,en cours,Faivre Camus S.A.S.
213,213,2024-12-29,2024-12-31,en cours,Marie
214,214,2023-10-02,2023-10-08,livrée,Tanguy Chartier SARL
215,215,2024-03-02,2024-03-04,en attente,Descamps
216,216,2023-04-11,2023-04-12,livrée,Bonneau Schneider S.A.
217,217,2022-08-24,2022-08-30,livrée,Vasseur
218,218,2021-11-09,2021-11-11,en cours,Turpin S.A.
219,219,2023-10-12,2023-10-19,livrée,Gomez
220,220,2022-03-09,2022-03-13,en attente,Laurent
221,221,2025-09-02,2025-09-04,livrée,Boulay
222,222,2019-03-02,2019-03-05,en attente,Faivre SA
223,223,2021-02-18,2021-02-20,livrée,Perrot SARL
224,224,2019-10-20,2019-10-25,en cours,Seguin SARL
225,225,2024-08-07,2024-08-09,livrée,Jean SA
226,226,2024-06-07,2024-06-13,en attente,Da Costa SA
227,227,2022-03-26,2022-04-01,livrée,Durand
228,228,2024-11-21,2024-11-26,en attente,Gaudin S.A.S.
229,229,2024-12-12,2024-12-16,en attente,Meyer
230,230,2021-03-15,2021-03-17,en cours,Pereira
231,231,2024-06-09,2024-06-13,livrée,Ferrand
232,232,2020-07-24,2020-07-30,en attente,Jacquot Guillot SARL
233,233,2025-05-19,2025-05-20,en attente,Martineau
234,234,2024-06-19,2024-06-22,livrée,Rousseau
235,235,2025-09-12,2025-09-18,en attente,Julien S.A.
236,236,2023-02-27,2023-03-01,livrée,Riou SARL
237,237,2019-04-07,2019-04-14,en cours,Rousset
238,238,2019-06-20,2019-06-22,en attente,Lelièvre Charrier et Fils
239,239,2023-12-04,2023-12-09,en attente,Fleury Mary SARL
240,240,2019-09-05,2019-09-12,en attente,Ferrand
241,241,2022-04-08,2022-04-12,en attente,Arnaud
242,242,2021-11-20,2021-11-25,en cours,Boyer
243,243,2022-02-26,2022-03-03,livrée,Gilbert
244,244,2024-05-06,2024-05-13,en cours,Fontaine
245,245,2021-09-21,2021-09-22,en cours,Andre SARL
246,246,2021-11-07,2021-11-10,livrée,Briand S.A.R.L.
247,247,2024-01-16,2024-01-18,livrée,Berger Potier SARL
248,248,2021-01-12,2021-01-17,en cours,Germain Briand S.A.
249,249,2023-02-27,2023-03-01,en cours,Raynaud
250,250,2021-01-27,2021-01-28,livrée,Teixeira Picard SARL
251,251,2025-11-21,2025-11-24,en cours,Techer Perrot SARL
252,252,2022-07-13,2022-07-20,livrée,Hardy Picard S.A.
253,253,2019-04-04,2019-04-07,en attente,Bonnet
254,254,2023-05-21,2023-05-22,en cours,Barbier SARL
255,255,2020-09-21,2020-09-23,livrée,Pottier Lucas et Fils
256,256,2025-05-21,2025-05-25,en attente,Mary
257,257,2019-01-09,2019-01-14,en attente,Andre Guilbert S.A.R.L.
258,258,2021-05-07,2021-05-10,en attente,Roche Albert S.A.S.
259,259,2020-05-26,2020-05-30,livrée,Pelletier Lecoq S.A.R.L.
260,260,2024-12-03,2024-12-07,en attente,Fernandes Andre et Fils
261,261,2019-01-26,2019-02-01,en attente,Lefebvre Masson S.A.
262,262,2023-06-26,2023-07-01,en cours,Rousseau et Fils
263,263,2022-01-13,2022-01-14,en attente,Normand S.A.R.L.
264,264,2022-03-27,2022-04-01,en attente,Jourdan
265,265,2024-02-17,2024-02-22,en cours,Vidal et Fils
266,266,2023-01-29,2023-02-04,livrée,Gallet
267,267,2023-04-05,2023-04-12,en cours,Legros
268,268,2020-09-05,2020-09-10,en attente,Costa
269,269,2024-02-03,2024-02-05,en attente,Dupont
270,270,2022-09-17,2022-09-22,en cours,Charrier
271,271,2021-12-16,2021-12-21,en attente,Morvan S.A.
272,272,2025-03-09,2025-03-12,livrée,Rémy Dijoux et Fils
273,273,2021-12-31,2022-01-03,en attente,Maillard
274,274,2021-02-10,2021-02-17,en attente,Dupuis
275,275,2021-02-13,2021-02-19,en attente,Vincent SA
276,276,2024-09-02,2024-09-08,en attente,Riou Bernard S.A.R.L.
277,277,2025-06-01,2025-06-04,livrée,Colin Fournier SA
278,278,2024-01-13,2024-01-20,en attente,Maurice Laporte et Fils
279,279,2020-08-26,2020-08-29,livrée,Normand
280,280,2019-06-14,2019-06-19,en attente,Laine
281,281,2022-10-30,2022-11-02,livrée,Legendre
282,282,2019-04-04,2019-04-11,livrée,Maurice S.A.
283,283,2024-06-08,2024-06-15,livrée,Leclercq
284,284,2019-03-21,2019-03-22,livrée,Maillet
285,285,2023-01-01,2023-01-02,en attente,Maillet Barbier SA
286,286,2019-10-09,2019-10-13,en attente,Grondin
287,287,2020-06-24,2020-06-28,en attente,Schmitt
288,288,2022-03-06,2022-03-11,en attente,Menard
289,289,2025-05-13,2025-05-17,en cours,Clément
290,290,2025-05-30,2025-06-04,en cours,Hubert Dijoux S.A.S.
291,291,2025-05-12,2025-05-13,en attente,Rocher Clément S.A.S.
292,292,2024-11-12,2024-11-18,en cours,Rousset Rodriguez et Fils
293,293,2022-05-23,2022-05-28,livrée,Bailly et Fils
294,294,2020-09-06,2020-09-13,en cours,Martineau
295,295,2022-09-28,2022-09-30,en cours,Meyer
296,296,2023-10-07,2023-10-13,en cours,Pichon
297,297,2024-05-04,2024-05-06,livrée,Guilbert SA
298,298,2023-04-24,2023-05-01,en cours,Leroy SA
299,299,2019-05-30,2019-06-02,en attente,Tanguy
300,300,2020-08-12,2020-08-13,en cours,Marty SARL
301,301,2021-11-12,2021-11-15,livrée,Bonneau De Oliveira S.A.S.
302,302,2022-04-17,2022-04-21,en attente,Salmon SARL
303,303,2021-07-17,2021-07-24,en attente,Dupré Dupuy SA
304,304,2023-10-03,2023-10-07,en attente,Duhamel
305,305,2022-06-24,2022-06-25,en attente,Sanchez S.A.S.
306,306,2023-11-11,2023-11-13,en attente,Antoine Carpentier SA
307,307,2020-08-24,2020-08-26,livrée,Paris
308,308,2025-06-25,2025-07-02,en attente,Pineau S.A.
309,309,2024-12-25,2025-01-01,en attente,Bonnin Pereira SARL
310,310,2022-08-10,2022-08-16,livrée,Perrier
311,311,2021-09-13,2021-09-17,en cours,Leduc Duhamel SARL
312,312,2022-09-18,2022-09-19,en attente,Gaudin S.A.R.L.
313,313,2025-11-21,2025-11-24,livrée,Rossi
314,314,2021-12-16,2021-12-23,livrée,Didier
315,315,2019-03-27,2019-04-01,en cours,Ferrand
316,316,2022-02-11,2022-02-14,en attente,Bouchet
317,317,2025-07-06,2025-07-11,en cours,Fabre S.A.S.
318,318,2024-12-12,2024-12-16,en cours,Brunet
319,319,2022-07-10,2022-07-11,en attente,Riou
320,320,2019-01-25,2019-01-26,en cours,Delattre
321,321,2020-11-25,2020-12-01,en attente,Gilles S.A.
322,322,2020-11-23,2020-11-30,livrée,Labbé
323,323,2024-01-01,2024-01-03,en attente,Rousseau Dias S.A.
324,324,2025-01-26,2025-02-01,en cours,David et Fils
325,325,2019-10-20,2019-10-22,livrée,Guérin SA
326,326,2021-09-07,2021-09-14,livrée,François
327,327,2025-09-19,2025-09-26,en cours,Ferrand et Fils
328,328,2024-04-11,2024-04-13,livrée,Mallet
329,329,2021-12-18,2021-12-22,en cours,Grenier Parent SA
330,330,2020-07-27,2020-08-02,livrée,Rolland
331,331,2022-08-23,2022-08-24,en cours,Huet SA
332,332,2025-03-13,2025-03-15,livrée,Hoarau Moreau SA
333,333,2025-03-12,2025-03-14,livrée,Reynaud
334,334,2025-02-05,2025-02-06,en attente,Schmitt
335,335,2024-01-11,2024-01-15,en cours,Martineau
336,336,2024-04-28,2024-05-02,en cours,Pascal et Fils
337,337,2021-09-26,2021-10-01,en cours,Fleury Nguyen et Fils
338,338,2022-02-23,2022-02-26,en cours,Wagner
339,339,2021-05-10,2021-05-17,livrée,Mathieu
340,340,2024-06-28,2024-07-04,livrée,Roussel
341,341,2021-02-12,2021-02-13,livrée,Lévy
342,342,2019-06-08,2019-06-11,en cours,Courtois Hardy S.A.R.L.
343,343,2024-08-14,2024-08-15,en cours,Gallet Vallet S.A.S.
344,344,2022-07-02,2022-07-06,en attente,Picard
345,345,2019-01-27,2019-01-29,en cours,Hubert
346,346,2019-03-27,2019-04-03,en cours,Huet
347,347,2023-02-24,2023-02-27,en attente,Perrin et Fils
348,348,2023-07-05,2023-07-07,livrée,Costa
349,349,2022-07-24,2022-07-30,livrée,Martineau S.A.
350,350,2021-03-18,2021-03-22,livrée,Godard Vasseur SA
351,351,2021-08-27,2021-09-02,en attente,Hernandez
352,352,2020-04-27,2020-04-29,en attente,Louis
353,353,2020-03-04,2020-03-06,livrée,Laporte S.A.R.L.
354,354,2023-08-13,2023-08-20,en attente,Rolland Charles SA
355,355,2025-10-12,2025-10-18,livrée,Roux Blin S.A.R.L.
356,356,2023-04-02,2023-04-07,en attente,Masse SARL
357,357,2022-06-22,2022-06-26,en cours,Paul
358,358,2022-05-27,2022-06-03,livrée,Benoit
359,359,2019-04-03,2019-04-04,en cours,Pruvost
360,360,2023-07-06,2023-07-12,en cours,Besson Mendès S.A.R.L.
361,361,2025-10-24,2025-10-26,en cours,Prévost S.A.R.L.
362,362,2024-07-18,2024-07-20,en attente,Peltier
363,363,2022-10-06,2022-10-09,livrée,Martinez Schmitt et Fils
364,364,2022-11-27,2022-11-29,en cours,François Courtois SARL
365,365,2023-12-09,2023-12-10,livrée,Raymond
366,366,2023-06-22,2023-06-26,livrée,Rodrigues
367,367,2021-05-17,2021-05-21,livrée,Jacob
368,368,2022-10-17,2022-10-23,livrée,Torres Torres S.A.
369,369,2025-02-14,2025-02-18,en cours,Gauthier
370,370,2019-10-15,2019-10-16,en cours,Meunier
371,371,2022-12-08,2022-12-10,en cours,Guillet Perret S.A.S.
372,372,2022-06-26,2022-06-29,livrée,Joly
373,373,2021-01-11,2021-01-13,livrée,Barthelemy
374,374,2023-07-18,2023-07-19,en cours,Hubert S.A.S.
375,375,2023-01-08,2023-01-11,en attente,Philippe Evrard SA
376,376,2019-11-09,2019-11-16,en cours,Faivre Guyon et Fils
377,377,2021-11-24,2021-12-01,en cours,Adam
378,378,2021-08-07,2021-08-13,en cours,Perret
379,379,2024-04-20,2024-04-26,en attente,Louis Laine S.A.R.L.
380,380,2023-01-31,2023-02-01,en attente,Coste
381,381,2021-12-14,2021-12-17,en attente,Camus SARL
382,382,2020-09-05,2020-09-07,en cours,Étienne et Fils
383,383,2020-04-21,2020-04-26,en cours,Diallo Bernier et Fils
384,384,2020-12-29,2021-01-05,livrée,Hamon Martin S.A.R.L.
385,385,2020-12-24,2020-12-25,en cours,Gimenez
386,386,2025-04-09,2025-04-16,livrée,Jacques SARL
387,387,2020-03-18,2020-03-24,en cours,Devaux
388,388,2022-11-05,2022-11-09,en attente,Chrétien Leleu et Fils
389,389,2019-10-20,2019-10-27,en attente,Dumas et Fils
390,390,2020-05-03,2020-05-09,en cours,Verdier
391,391,2022-04-10,2022-04-11,livrée,Baudry Jacques SA
392,392,2025-01-31,2025-02-01,livrée,Merle SARL
393,393,2022-05-26,2022-06-01,en cours,Hernandez et Fils
394,394,2019-04-18,2019-04-19,livrée,Michaud
395,395,2020-03-03,2020-03-08,en cours,Raynaud
396,396,2024-09-12,2024-09-16,en cours,Gomes S.A.
397,397,2024-08-22,2024-08-23,en attente,Joly Morel S.A.R.L.
398,398,2022-06-25,2022-06-28,en attente,Martin S.A.R.L.
399,399,2024-03-17,2024-03-18,en cours,Pages
400,400,2020-01-27,2020-02-02,livrée,Mary S.A.S.
401,401,2023-02-04,2023-02-08,en cours,Royer Raynaud SARL
402,402,2020-10-31,2020-11-06,livrée,Dupont Gautier S.A.
403,403,2020-07-29,2020-07-30,en attente,Gautier
404,404,2020-04-25,2020-04-30,en attente,Dufour SA
405,405,2019-11-13,2019-11-18,en cours,Thomas Dupuy S.A.R.L.
406,406,2022-04-14,2022-04-20,en cours,Tessier S.A.
407,407,2022-09-24,2022-09-25,en cours,Gautier
408,408,2020-02-12,2020-02-15,livrée,Seguin
409,409,2020-09-17,2020-09-18,en attente,Raynaud S.A.
410,410,2020-04-04,2020-04-11,en cours,Ramos
411,411,2024-04-01,2024-04-05,en attente,Godard
412,412,2021-07-30,2021-08-06,en attente,Martel Lelièvre S.A.S.
413,413,2022-06-04,2022-06-06,livrée,Besson S.A.
414,414,2024-04-19,2024-04-22,livrée,Faure
415,415,2023-06-06,2023-06-13,en cours,Martins
416,416,2019-04-20,2019-04-26,livrée,Delmas
417,417,2024-09-06,2024-09-07,en attente,Pichon
418,418,2024-09-03,2024-09-10,livrée,Camus Adam S.A.S.
419,419,2020-02-06,2020-02-10,en attente,Gros
420,420,2019-07-16,2019-07-19,en attente,Delannoy
421,421,2019-05-28,2019-05-31,en attente,Boutin Tanguy et Fils
422,422,2025-03-11,2025-03-15,en attente,Guérin Renaud S.A.S.
423,423,2025-06-27,2025-07-02,en cours,Boucher
424,424,2024-07-15,2024-07-21,livrée,Brunet Richard S.A.
425,425,2020-04-25,2020-05-01,en attente,Pons Maurice et Fils
426,426,2021-08-09,2021-08-13,en attente,Hebert
427,427,2023-05-07,2023-05-11,en cours,Robert Garcia et Fils
428,428,2022-02-07,2022-02-14,en cours,Perrin
429,429,2020-04-30,2020-05-01,en attente,Gilbert S.A.R.L.
430,430,2020-07-19,2020-07-22,en cours,Coulon S.A.S.
431,431,2021-04-05,2021-04-10,en attente,Turpin et Fils
432,432,2024-05-03,2024-05-09,en cours,Traore
433,433,2024-04-08,2024-04-09,livrée,Georges
434,434,2020-01-18,2020-01-21,en attente,Lefort Mace SA
435,435,2024-02-22,2024-02-24,livrée,Lévy Tessier S.A.R.L.
436,436,2025-02-23,2025-02-28,en attente,De Sousa
437,437,2020-09-30,2020-10-06,en cours,Monnier S.A.S.
438,438,2024-06-13,2024-06-14,livrée,Lebreton et Fils
439,439,2022-11-14,2022-11-20,livrée,Georges
440,440,2024-10-15,2024-10-22,en attente,Gomez
441,441,2022-09-02,2022-09-04,en cours,Leroy
442,442,2022-10-17,2022-10-18,livrée,Bègue
443,443,2025-12-27,2025-12-28,en attente,Dijoux
444,444,2024-11-03,2024-11-06,en attente,Imbert Gomes SA
445,445,2020-04-07,2020-04-12,livrée,Chevallier Perret S.A.R.L.
446,446,2021-07-23,2021-07-25,livrée,Lemonnier Lelièvre SARL
447,447,2019-07-05,2019-07-06,en attente,Lévy
448,448,2024-08-07,2024-08-08,en attente,Roger Étienne S.A.S.
449,449,2025-08-17,2025-08-19,livrée,Evrard S.A.S.
450,450,2020-11-08,2020-11-09,en attente,Bernier S.A.
451,451,2023-06-02,2023-06-05,en cours,Blanc et Fils
452,452,2025-02-21,2025-02-22,en cours,Pereira Sauvage S.A.
453,453,2019-04-03,2019-04-09,en attente,Bonnet Rolland S.A.S.
454,454,2022-12-23,2022-12-27,livrée,Chevalier Chrétien S.A.
455,455,2024-06-20,2024-06-26,en attente,Bouchet Gomez et Fils
