id_commande,id_client,date_commande,statut_commande,montant_total,mode_commande
150,889,2022-05-24,livrée,538.48,web
151,5515,2019-04-28,expédiée,965.12,web
152,829,2022-06-27,en cours,1213.21,mobile
153,4987,2024-08-01,échouée,961.89,web
154,3517,2024-05-23,expédiée,1738.71,web
155,2860,2022-07-07,livrée,1955.74,mobile
156,4995,2022-08-08,en cours,1929.79,mobile
157,5993,2022-07-07,livrée,895.14,mobile
158,2347,2024-10-19,livrée,1860.59,web
159,1867,2023-06-22,en cours,1945.55,mobile
160,4515,2022-09-26,livrée,1713.46,web
161,3773,2019-11-09,livrée,1756.95,web
162,2573,2025-06-10,expédiée,1180.06,web
163,3849,2021-05-17,échouée,276.05,mobile
164,854,2023-08-10,expédiée,1778.03,web
165,4082,2020-07-06,échouée,1386.74,mobile
166,5200,2020-12-13,livrée,1895.57,web
167,5657,2024-07-27,livrée,578.82,web
168,1464,2022-03-08,livrée,690.38,mobile
169,5500,2022-10-26,échouée,1834.82,web
170,2502,2025-10-26,échouée,317.6,web
171,256,2019-08-12,échouée,1743.13,mobile
172,1673,2023-04-09,livrée,1899.49,web
173,464,2020-09-19,échouée,934.4,web
174,3539,2019-01-15,expédiée,195.74,mobile
175,5679,2021-09-02,en cours,1405.84,mobile
176,4292,2021-10-14,échouée,1157.22,web
177,2205,2019-01-30,expédiée,547.62,mobile
178,5443,2021-07-23,échouée,235.6,mobile
179,558,2022-05-11,en cours,768.38,mobile
180,2398,2023-03-27,livrée,1657.28,web
181,925,2025-03-06,expédiée,1334.15,web
182,3898,2021-03-05,livrée,707.6,mobile
183,1835,2022-09-07,expédiée,966.27,web
184,1954,2021-01-01,livrée,996.52,web
185,720,2025-11-12,expédiée,1293.96,mobile
186,3140,2022-09-14,échouée,1146.84,web
187,1421,2021-01-14,livrée,819.65,mobile
188,1256,2024-03-03,livrée,1405.3,web
189,5827,2023-11-07,expédiée,1368.79,web
190,1118,2019-06-16,en cours,232.42,web
191,4116,2021-07-16,livrée,1977.91,mobile
192,3158,2022-03-16,livrée,1607.68,web
193,3953,2025-05-25,en cours,1681.62,mobile
194,5661,2021-03-07,expédiée,1739.28,mobile
195,4846,2025-06-22,expédiée,625.71,web
196,4151,2023-12-07,échouée,526.5,web
197,168,2021-05-09,en cours,1330.27,mobile
198,2050,2024-09-26,échouée,1158.19,mobile
199,5030,2021-12-15,expédiée,586.62,mobile
200,1964,2025-02-01,livrée,1414.76,mobile
201,880,2023-09-13,livrée,1893.76,web
202,222,2023-06-05,expédiée,1137.65,web
203,3520,2024-07-14,échouée,1299.04,mobile
204,5964,2023-09-20,expédiée,206.18,web
205,5060,2021-03-23,en cours,1700.99,mobile
206,5335,2022-05-13,livrée,1186.78,mobile
207,5341,2024-06-01,livrée,1348.16,web
208,1887,2025-05-08,expédiée,1084.73,mobile
209,3,2022-05-31,en cours,774.08,web
210,3437,2019-01-19,expédiée,816.14,web
211,280,2022-01-21,expédiée,455.25,web
212,1744,2019-07-19,échouée,1280.33,web
213,4150,2024-12-28,livrée,1690.21,web
214,3841,2023-10-01,livrée,992.8,web
215,3406,2024-02-28,livrée,626.16,web
216,4300,2023-04-09,en cours,1368.5,web
217,5457,2022-08-24,livrée,941.74,web
218,4532,2021-11-08,en cours,1474.7,web
219,1044,2023-10-09,échouée,864.55,mobile
220,4925,2022-03-08,livrée,1201.74,web
221,5310,2025-09-01,expédiée,639.3,mobile
222,2020,2019-03-01,expédiée,1261.41,mobile
223,4063,2021-02-16,échouée,1837.55,mobile
224,3193,2019-10-20,en cours,302.09,web
225,3495,2024-08-06,échouée,63.28,web
226,847,2024-06-06,en cours,1957.2,web
227,396,2022-03-23,expédiée,1652.74,web
228,962,2024-11-18,expédiée,1520.27,web
229,3267,2024-12-11,livrée,790.68,web
230,3684,2021-03-15,livrée,1598.68,mobile
231,4465,2024-06-09,en cours,458.81,mobile
232,4243,2020-07-22,en cours,989.25,mobile
233,5298,2025-05-18,échouée,1542.54,web
234,4259,2024-06-18,en cours,836.75,web
235,3370,2025-09-10,expédiée,768.2,mobile
236,4251,2023-02-26,échouée,385.33,web
237,3120,2019-04-04,en cours,1053.78,mobile
238,1716,2019-06-17,échouée,1803.68,mobile
239,323,2023-12-04,expédiée,275.96,web
240,764,2019-09-02,expédiée,595.41,mobile
241,2000,2022-04-08,expédiée,211.91,web
242,3197,2021-11-18,expédiée,1593.53,mobile
243,4795,2022-02-25,livrée,1044.85,mobile
244,780,2024-05-06,livrée,39.48,mobile
245,2681,2021-09-20,échouée,250.4,mobile
246,5764,2021-11-05,échouée,109.43,mobile
247,3962,2024-01-16,en cours,1057.09,mobile
248,4386,2021-01-09,livrée,81.56,mobile
249,3009,2023-02-26,livrée,1364.42,web
250,3460,2021-01-24,échouée,600.66,web
251,3767,2025-11-18,expédiée,1742.36,mobile
252,1141,2022-07-13,en cours,1537.85,mobile
253,114,2019-04-03,livrée,1992.53,mobile
254,1813,2023-05-19,expédiée,596.14,mobile
255,3588,2020-09-18,expédiée,548.46,mobile
256,3834,2025-05-20,échouée,280.22,mobile
257,5026,2019-01-07,en cours,1653.23,mobile
258,1298,2021-05-04,échouée,1651.15,mobile
259,2053,2020-05-23,expédiée,154.56,mobile
260,3244,2024-12-01,expédiée,1473.2,mobile
261,1658,2019-01-26,livrée,1804.42,web
262,1259,2023-06-25,expédiée,1799.8,mobile
263,1963,2022-01-11,échouée,998.46,mobile
264,3752,2022-03-25,expédiée,1189.87,mobile
265,2134,2024-02-17,échouée,1333.92,web
266,5236,2023-01-27,en cours,1952.19,web
267,3614,2023-04-03,expédiée,510.42,web
268,5821,2020-09-05,en cours,1445.12,web
269,5793,2024-02-01,expédiée,1880.56,web
270,2433,2022-09-16,en cours,59.73,web
271,3756,2021-12-13,livrée,1593.26,mobile
272,2101,2025-03-08,échouée,1372.86,web
273,2555,2021-12-29,en cours,902.11,web
274,1670,2021-02-08,livrée,1932.81,mobile
275,1466,2021-02-10,expédiée,1456.37,mobile
276,1414,2024-08-30,échouée,1602.98,web
277,5176,2025-05-30,échouée,1253.63,web
278,761,2024-01-12,échouée,1007.74,web
279,3167,2020-08-24,expédiée,1040.02,web
280,4351,2019-06-11,échouée,893.1,web
281,3954,2022-10-29,échouée,901.61,web
282,4162,2019-04-02,en cours,1652.52,mobile
283,1630,2024-06-07,livrée,856.61,mobile
284,2823,2019-03-21,en cours,1026.73,web
285,567,2022-12-30,livrée,428.34,web
286,5103,2019-10-06,expédiée,1553.32,mobile
287,514,2020-06-21,expédiée,1283.85,web
288,5085,2022-03-04,échouée,349.83,web
289,2994,2025-05-11,échouée,731.44,web
290,5417,2025-05-29,expédiée,866.95,mobile
291,1500,2025-05-09,en cours,1625.19,mobile
292,1561,2024-11-11,en cours,685.52,mobile
293,3352,2022-05-20,en cours,472.6,web
294,5165,2020-09-06,en cours,1634.82,web
295,620,2022-09-28,expédiée,1476.71,web
296,1567,2023-10-05,expédiée,649.56,mobile
297,274,2024-05-02,expédiée,1492.59,mobile
298,4383,2023-04-22,livrée,1233.0,mobile
299,1536,2019-05-28,expédiée,237.97,web
300,4095,2020-08-09,expédiée,1797.64,mobile
301,3711,2021-11-09,livrée,530.35,web
302,3303,2022-04-17,expédiée,187.17,web
303,917,2021-07-15,livrée,702.56,mobile
304,1787,2023-10-01,expédiée,1723.47,mobile
305,4224,2022-06-22,en cours,26.63,web
306,5636,2023-11-10,expédiée,1605.17,mobile
307,5603,2020-08-21,échouée,610.5,web
308,5382,2025-06-24,en cours,1057.35,mobile
309,838,2024-12-25,livrée,1240.65,mobile
310,5870,2022-08-10,échouée,997.3,web
311,5521,2021-09-12,échouée,979.41,web
312,42,2022-09-15,échouée,1299.7,mobile
313,90,2025-11-19,en cours,1775.81,web
314,5722,2021-12-13,livrée,163.35,web
315,3743,2019-03-27,échouée,885.41,web
316,2312,2022-02-11,échouée,1041.3,web
317,3505,2025-07-06,échouée,1344.64,mobile
318,2374,2024-12-12,en cours,1565.69,web
319,5967,2022-07-08,en cours,1889.9,web
320,3971,2019-01-25,en cours,1456.82,mobile
321,1403,2020-11-22,expédiée,488.33,mobile
322,5346,2020-11-20,en cours,216.89,mobile
323,347,2023-12-31,livrée,1700.93,web
324,4252,2025-01-25,expédiée,1024.91,web
325,2296,2019-10-17,échouée,1253.41,web
326,5886,2021-09-04,expédiée,1526.63,mobile
327,99,2025-09-19,en cours,259.0,web
328,4097,2024-04-09,échouée,930.91,mobile
329,5996,2021-12-17,échouée,1406.19,web
330,4437,2020-07-27,livrée,255.27,mobile
331,2518,2022-08-20,livrée,594.53,mobile
332,790,2025-03-11,en cours,499.34,web
333,5469,2025-03-11,échouée,731.6,web
334,602,2025-02-05,en cours,1537.45,web
335,545,2024-01-11,échouée,1904.87,web
336,3775,2024-04-25,expédiée,533.16,mobile
337,3403,2021-09-25,livrée,291.1,mobile
338,3364,2022-02-21,échouée,124.27,web
339,2875,2021-05-07,livrée,1010.91,mobile
340,5217,2024-06-25,échouée,555.73,web
341,5271,2021-02-11,expédiée,121.84,web
342,3894,2019-06-06,en cours,465.99,web
343,1121,2024-08-12,échouée,547.83,web
344,5796,2022-06-29,en cours,1992.68,web
345,2902,2019-01-25,échouée,1568.98,web
346,4646,2019-03-27,échouée,1156.11,mobile
347,5126,2023-02-23,livrée,587.54,mobile
348,4289,2023-07-03,échouée,883.01,mobile
349,5550,2022-07-21,en cours,272.62,mobile
350,5597,2021-03-18,expédiée,131.88,mobile
351,1169,2021-08-26,expédiée,1087.93,web
352,5412,2020-04-24,échouée,674.63,web
353,5671,2020-03-03,échouée,1383.29,web
354,3724,2023-08-11,échouée,201.53,web
355,685,2025-10-09,échouée,1352.64,web
356,2707,2023-04-02,livrée,940.94,mobile
357,2641,2022-06-21,livrée,1762.1,mobile
358,3471,2022-05-27,en cours,1487.81,web
359,3746,2019-04-03,en cours,1618.45,mobile
360,2526,2023-07-03,livrée,1971.42,mobile
361,643,2025-10-23,expédiée,1397.96,web
362,2343,2024-07-16,en cours,1618.72,mobile
363,927,2022-10-03,en cours,1656.28,mobile
364,2341,2022-11-26,expédiée,1825.05,mobile
365,4384,2023-12-08,livrée,1646.81,mobile
366,71,2023-06-22,livrée,1014.59,web
367,5058,2021-05-15,en cours,77.51,web
368,2216,2022-10-14,expédiée,687.64,mobile
369,2874,2025-02-13,échouée,1871.61,mobile
370,1947,2019-10-13,expédiée,1357.3,web
371,4723,2022-12-05,en cours,1367.34,mobile
372,3468,2022-06-24,échouée,1680.1,mobile
373,4236,2021-01-08,échouée,743.91,web
374,2800,2023-07-18,expédiée,449.31,mobile
375,142,2023-01-05,expédiée,902.7,web
376,3451,2019-11-07,livrée,40.79,web
377,2922,2021-11-22,en cours,113.96,web
378,3833,2021-08-05,livrée,168.99,mobile
379,5378,2024-04-19,en cours,1829.52,web
380,3241,2023-01-31,expédiée,1629.27,mobile
381,3852,2021-12-13,livrée,910.45,mobile
382,3764,2020-09-05,échouée,976.91,mobile
383,2886,2020-04-21,échouée,1230.12,web
384,835,2020-12-29,expédiée,223.81,mobile
385,3069,2020-12-21,en cours,1344.77,web
386,597,2025-04-09,échouée,1785.0,mobile
387,5230,2020-03-15,échouée,1788.0,mobile
388,4940,2022-11-03,livrée,380.23,mobile
389,1172,2019-10-18,en cours,673.6,mobile
390,658,2020-05-02,en cours,1418.16,mobile
391,1169,2022-04-08,en cours,1166.37,web
392,457,2025-01-29,échouée,696.03,mobile
393,5698,2022-05-24,en cours,1850.23,mobile
394,2580,2019-04-18,en cours,877.89,mobile
395,764,2020-03-02,livrée,1090.48,mobile
396,3408,2024-09-11,livrée,421.43,web
397,2165,2024-08-21,en cours,1966.41,web
398,2008,2022-06-25,livrée,1525.62,mobile
399,4814,2024-03-14,expédiée,1666.88,web
400,4354,2020-01-26,expédiée,250.48,mobile
401,1555,2023-02-01,en cours,432.67,web
402,407,2020-10-31,expédiée,742.35,web
403,4368,2020-07-27,expédiée,1005.06,web
404,1641,2020-04-25,expédiée,1997.85,web
405,2193,2019-11-10,expédiée,1101.12,web
406,3152,2022-04-14,échouée,1734.05,mobile
407,5885,2022-09-21,échouée,676.25,web
408,1154,2020-02-11,expédiée,766.39,web
409,3019,2020-09-14,échouée,1954.47,web
410,5114,2020-04-04,livrée,1278.12,mobile
411,4323,2024-03-31,en cours,1933.18,mobile
412,2996,2021-07-28,expédiée,956.95,web
413,3293,2022-06-03,en cours,1058.09,mobile
414,2882,2024-04-19,en cours,1192.68,web
415,72,2023-06-06,échouée,150.36,mobile
416,3869,2019-04-17,expédiée,1682.72,mobile
417,5215,2024-09-06,livrée,733.53,web
418,1278,2024-09-02,échouée,636.3,web
419,3561,2020-02-03,échouée,354.74,web
420,4553,2019-07-13,en cours,490.03,mobile
421,4193,2019-05-25,livrée,1799.02,web
422,3273,2025-03-09,expédiée,1298.59,mobile
423,4734,2025-06-26,échouée,1412.57,mobile
424,2761,2024-07-14,en cours,1371.81,mobile
425,891,2020-04-23,en cours,1454.03,web
426,256,2021-08-07,en cours,1875.33,web
427,1725,2023-05-05,expédiée,1221.57,mobile
428,2127,2022-02-06,en cours,1846.3,web
429,1272,2020-04-28,échouée,1874.3,web
430,774,2020-07-16,expédiée,1636.97,web
431,3098,2021-04-05,en cours,903.97,mobile
432,2670,2024-05-02,en cours,907.19,web
433,4071,2024-04-06,échouée,1047.48,mobile
434,3729,2020-01-18,échouée,1350.39,web
435,3395,2024-02-20,échouée,282.84,mobile
436,25,2025-02-22,en cours,1831.6,web
437,724,2020-09-30,expédiée,1075.82,mobile
438,580,2024-06-13,en cours,1457.69,mobile
439,5389,2022-11-14,livrée,1104.42,web
440,4847,2024-10-12,livrée,1900.54,web
441,1423,2022-09-01,en cours,1071.97,mobile
442,3423,2022-10-15,échouée,1518.1,web
443,3448,2025-12-27,échouée,916.15,web
444,612,2024-10-31,livrée,943.71,mobile
445,1359,2020-04-06,livrée,438.66,mobile
446,3160,2021-07-20,livrée,654.04,mobile
447,4144,2019-07-05,en cours,59.29,mobile
448,3112,2024-08-06,expédiée,957.02,web
449,1868,2025-08-17,livrée,470.18,mobile
450,3729,2020-11-07,expédiée,804.88,mobile
451,5212,2023-06-01,en cours,305.31,mobile
452,4995,2025-02-18,en cours,408.64,web
453,5257,2019-04-02,en cours,1447.82,web
454,1439,2022-12-21,échouée,890.18,web
455,3776,2024-06-18,expédiée,1994.92,mobile
456,1733,2023-12-11,livrée,377.54,web
457,3022,2024-01-09,expédiée,1628.65,mobile
458,5580,2020-04-06,livrée,403.97,web
459,5408,2022-08-17,échouée,1073.52,mobile
460,5983,2021-08-09,livrée,1110.05,mobile
461,3157,2021-06-29,expédiée,1949.89,mobile
462,5948,2025-03-07,expédiée,1499.7,mobile
463,1490,2019-05-24,expédiée,1458.98,mobile
464,1782,2019-03-17,échouée,450.52,mobile
465,5752,2020-10-09,livrée,942.45,mobile
466,5004,2021-03-06,livrée,631.53,web
467,5057,2023-06-16,livrée,406.49,web
468,3727,2020-07-08,livrée,780.93,mobile
469,4223,2024-05-08,expédiée,1784.43,web
470,822,2024-04-29,en cours,1748.06,mobile
471,1857,2019-12-17,en cours,683.78,mobile
472,2994,2024-10-29,expédiée,1654.65,web
473,92,2019-01-02,en cours,1714.77,web
474,4172,2019-05-21,expédiée,447.09,mobile
475,1835,2022-05-30,expédiée,837.55,mobile
476,5036,2020-11-12,expédiée,1659.15,mobile
477,4289,2022-02-23,expédiée,496.26,web
478,4418,2021-11-24,échouée,709.66,web
479,2906,2025-04-08,échouée,770.75,web
480,4509,2025-03-19,échouée,1858.03,web
481,3906,2020-04-21,expédiée,854.46,web
482,3111,2024-04-11,livrée,643.47,mobile
483,5148,2023-02-17,expédiée,1836.73,mobile
484,668,2019-03-22,livrée,1055.77,mobile
485,5350,2020-08-12,expédiée,76.1,mobile
486,3906,2023-10-25,expédiée,126.96,web
487,3509,2020-09-20,en cours,364.6,mobile
488,1604,2025-02-12,en cours,682.45,web
489,2291,2021-10-16,livrée,247.42,web
490,3280,2019-04-13,en cours,620.06,mobile
491,714,2019-09-18,expédiée,145.2,web
492,2738,2025-07-02,échouée,1258.09,web
493,2853,2025-09-04,échouée,1188.22,mobile
494,3588,2020-09-28,livrée,1373.98,web
495,1873,2019-01-11,expédiée,438.8,web
496,724,2023-09-09,en cours,1058.79,web
497,1719,2023-03-01,livrée,644.76,mobile
498,2144,2024-10-23,expédiée,1655.64,web
499,438,2021-12-14,échouée,766.35,mobile
500,11,2025-10-27,en cours,546.62,web
501,961,2020-06-14,en cours,705.77,mobile
502,767,2019-03-22,expédiée,645.29,mobile
503,3441,2022-04-17,livrée,785.36,mobile
504,127,2025-06-23,échouée,1591.31,mobile
505,3456,2023-03-11,expédiée,1357.86,mobile
506,5189,2022-05-17,livrée,1133.84,web
507,1303,2025-09-22,expédiée,857.75,web
508,2431,2021-03-31,expédiée,1364.92,web
509,4678,2023-10-13,en cours,895.7,mobile
510,3328,2020-12-07,livrée,670.47,mobile
511,3269,2021-10-25,expédiée,859.41,mobile
512,5347,2023-05-28,en cours,1985.99,web
513,3307,2024-10-15,échouée,288.01,mobile
514,4741,2024-05-31,livrée,467.45,mobile
515,1218,2022-10-08,échouée,59.89,mobile
516,1901,2020-03-08,livrée,200.96,web
517,2771,2025-02-05,livrée,1974.71,mobile
518,4113,2025-05-30,expédiée,1854.31,web
519,2526,2022-11-21,échouée,985.76,mobile
520,3352,2019-08-07,en cours,610.43,web
521,2942,2022-11-03,livrée,376.8,mobile
522,201,2020-07-29,expédiée,1728.17,web
523,4474,2021-07-04,échouée,1696.52,web
524,1994,2024-11-24,expédiée,1463.74,mobile
525,89,2019-11-20,en cours,880.79,mobile
526,2017,2020-01-25,en cours,1523.73,mobile
527,1161,2024-12-30,en cours,1427.59,mobile
528,2001,2024-10-03,expédiée,37.16,mobile
529,5433,2021-08-08,en cours,1320.86,web
530,3176,2020-10-25,livrée,1489.91,mobile
531,1947,2019-06-26,échouée,1550.18,web
532,3477,2024-08-02,livrée,1143.89,web
533,208,2019-10-16,en cours,1509.36,web
534,5061,2022-09-14,échouée,1088.22,web
535,1727,2024-11-10,échouée,126.3,mobile
536,1847,2020-12-28,en cours,283.94,mobile
537,3531,2025-05-18,échouée,302.34,mobile
538,2200,2019-12-03,échouée,1747.82,web
539,5692,2022-07-08,échouée,27.34,mobile
540,2267,2024-02-28,en cours,620.99,mobile
541,2951,2023-04-10,expédiée,1736.45,mobile
542,5353,2022-11-06,en cours,1795.89,mobile
543,3386,2021-08-13,livrée,1356.2,web
544,5731,2023-08-16,livrée,992.76,mobile
545,3738,2024-05-22,livrée,1702.39,mobile
546,3159,2019-11-15,échouée,1896.44,web
547,4460,2020-09-03,livrée,1819.91,mobile
548,2310,2022-01-21,en cours,1271.7,mobile
549,3401,2019-03-08,en cours,635.93,mobile
550,5516,2019-11-14,échouée,1585.53,web
551,5735,2022-09-17,livrée,1663.97,mobile
552,4829,2022-03-16,en cours,637.88,mobile
553,4837,2020-07-31,expédiée,210.44,mobile
554,4675,2025-10-08,échouée,1110.82,mobile
555,3795,2022-07-03,échouée,1737.58,web
556,5797,2025-02-20,livrée,1928.31,web
557,2566,2022-12-17,échouée,109.41,web
558,1962,2022-02-21,en cours,1893.91,mobile
559,2935,2022-07-11,livrée,1181.22,web
560,3919,2022-09-12,échouée,1522.55,mobile
561,4624,2020-01-23,livrée,557.25,mobile
562,2181,2024-08-14,en cours,119.51,mobile
563,2638,2019-01-29,échouée,674.09,web
564,4269,2019-08-21,échouée,789.45,mobile
565,2892,2019-08-17,expédiée,865.59,web
566,3328,2021-08-03,en cours,1428.41,web
567,1038,2025-09-19,livrée,1122.41,web
568,703,2024-01-10,expédiée,971.74,mobile
569,295,2024-09-05,expédiée,456.83,mobile
570,3318,2021-07-13,expédiée,1864.88,web
571,2641,2021-06-07,en cours,1556.4,mobile
572,1542,2024-05-14,livrée,979.65,web
573,1758,2023-09-13,livrée,1500.6,web
574,3568,2025-05-20,échouée,734.29,mobile
575,5934,2023-10-23,expédiée,633.75,mobile
576,2125,2024-10-30,échouée,1685.29,mobile
577,1729,2021-11-17,livrée,916.22,web
578,2937,2022-09-01,échouée,1153.67,web
579,1555,2022-04-21,échouée,34.9,web
580,1754,2024-02-05,expédiée,1125.27,mobile
581,3,2020-01-14,expédiée,1288.8,web
582,1185,2021-04-10,en cours,875.73,mobile
583,978,2022-12-15,échouée,1595.22,web
584,2682,2021-03-17,livrée,1667.36,mobile
585,660,2021-10-20,expédiée,315.42,web
586,5416,2019-09-15,échouée,1058.27,web
587,447,2019-04-04,expédiée,423.72,web
588,3059,2019-06-12,en cours,82.69,web
589,1975,2023-02-09,expédiée,780.94,web
