id_article_commande,id_commande,id_produit,quantite,prix_unitaire
184,59,750,7,222.79
185,59,331,4,471.44
186,60,1002,5,39.44
187,60,817,3,191.66
188,60,1194,5,28.95
189,60,1365,2,376.18
190,60,1130,10,221.03
191,61,1194,3,486.1
192,61,298,3,448.76
193,62,859,1,300.94
194,62,692,1,224.75
195,63,118,5,473.17
196,63,65,10,125.31
197,63,423,4,34.03
198,64,772,2,303.6
199,64,649,10,464.4
200,64,169,4,30.37
201,65,770,2,84.71
202,65,944,6,118.55
203,65,1499,2,75.87
204,66,1421,7,343.19
205,66,927,7,14.55
206,66,425,10,96.34
207,67,135,6,337.84
208,68,1407,1,165.31
209,68,1126,4,13.22
210,69,714,2,251.5
211,69,594,8,288.47
212,70,205,4,117.14
213,70,438,4,247.22
214,70,533,5,381.98
215,70,276,3,326.4
216,71,1136,4,315.59
217,71,1436,3,161.98
218,72,195,2,403.31
219,72,32,7,329.85
220,73,833,5,240.05
221,73,202,5,195.62
222,74,948,3,383.65
223,74,967,2,58.01
224,74,251,4,30.55
225,74,1380,10,333.43
226,75,1039,6,246.4
227,75,397,2,109.6
228,75,1232,1,136.5
229,76,1344,7,294.05
230,76,1111,8,286.45
231,76,1079,7,460.8
232,77,1084,9,231.5
233,78,584,7,186.01
234,78,1432,7,221.29
235,78,1140,5,221.62
236,78,64,3,312.15
237,78,585,6,490.69
238,79,40,5,253.11
239,79,844,4,181.16
240,79,1215,6,388.03
241,79,771,8,63.16
242,79,848,9,34.66
243,80,32,2,11.15
244,80,741,9,445.17
245,80,1238,8,230.66
246,80,307,4,495.19
247,80,1103,10,122.59
248,81,1208,4,113.58
249,81,280,1,405.66
250,81,878,1,308.51
251,82,1122,10,241.65
252,82,1452,5,356.01
253,82,1429,9,172.23
254,82,1498,9,494.27
255,83,341,6,346.16
256,83,164,10,235.46
257,83,1167,5,244.33
258,83,1145,3,118.22
259,84,587,9,179.2
260,85,580,3,129.65
261,85,485,9,282.81
262,85,722,7,443.86
263,85,682,9,115.39
264,86,331,7,60.52
265,87,1371,9,362.17
266,87,1433,7,382.5
267,87,967,5,384.85
268,87,714,10,397.72
269,88,1282,2,61.13
270,88,945,3,86.46
271,89,802,7,62.54
272,90,1500,9,144.1
273,90,845,6,451.86
274,91,1359,7,397.4
275,91,1300,4,171.12
276,91,511,5,299.61
277,91,944,3,430.59
278,92,340,9,309.68
279,93,335,5,374.99
280,93,673,8,365.1
281,93,1312,5,473.04
282,93,210,2,497.71
283,94,903,4,216.16
284,94,1155,6,269.8
285,94,1327,1,65.56
286,94,1497,7,404.18
287,94,745,8,134.57
288,95,979,7,274.87
289,96,1433,10,176.72
290,96,1162,1,370.21
291,96,887,2,414.82
292,97,947,1,244.78
293,97,1405,1,134.39
294,97,76,10,354.42
295,97,1318,9,454.15
296,98,683,4,10.25
297,98,157,7,267.64
298,98,886,1,299.87
299,98,1393,9,420.77
300,99,1439,4,457.1
301,99,438,9,286.91
302,100,1278,1,275.48
303,100,332,8,247.47
304,100,604,5,120.85
305,100,690,5,380.59
306,101,1473,1,484.55
307,101,1500,2,101.25
308,101,1046,9,449.93
309,101,926,7,141.28
310,102,1371,3,485.51
311,103,1373,9,447.58
312,103,902,8,168.69
313,103,526,4,96.38
314,103,1144,8,115.28
315,104,240,6,183.05
316,104,598,3,413.14
317,105,612,6,78.28
318,105,224,6,446.09
319,105,1198,5,372.48
320,106,79,2,82.69
321,107,465,9,312.82
322,107,1109,5,65.68
323,107,569,1,289.52
324,107,783,9,449.1
325,108,357,3,281.59
326,108,41,8,135.0
327,108,273,6,224.86
328,108,1021,2,394.88
329,108,885,3,372.66
330,109,1419,4,68.13
331,110,847,5,96.6
332,110,1168,6,356.82
333,110,1180,1,206.43
334,110,145,1,92.93
335,111,805,1,390.72
336,111,1312,9,172.03
337,111,1434,6,358.91
338,112,823,4,132.4
339,112,836,6,116.29
340,112,345,1,383.29
341,112,1066,10,9.65
342,112,355,8,180.14
343,113,127,2,283.52
344,114,57,4,250.42
345,114,1324,8,394.27
346,114,213,7,208.39
347,115,1413,8,48.2
348,115,774,4,192.74
349,115,488,8,467.68
350,116,366,2,177.23
351,117,810,10,35.6
352,118,1083,3,215.25
353,119,188,10,450.36
354,120,744,3,460.71
355,121,475,4,354.47
356,121,314,4,224.4
357,122,787,4,176.36
358,122,856,3,125.6
359,123,453,2,448.66
360,123,1487,6,401.83
361,124,956,3,320.15
362,125,334,10,311.81
363,125,1051,7,438.14
364,126,1016,4,308.91
365,126,1488,3,151.19
366,126,1209,7,351.01
367,126,568,4,342.28
368,127,1330,8,273.69
369,128,620,10,452.53
370,128,240,8,496.4
371,129,1268,1,20.43
372,129,554,4,119.23
373,129,37,3,110.87
374,130,350,2,465.72
375,131,428,8,489.33
376,131,1066,6,401.59
377,132,482,8,426.73
378,132,1408,2,212.07
379,133,691,5,401.91
380,133,533,7,467.19
381,134,444,8,141.92
382,134,1396,3,60.18
383,134,109,7,214.01
384,135,469,7,483.3
385,135,1027,2,477.59
386,136,194,2,245.35
387,136,525,2,110.55
388,136,1468,8,341.83
389,137,689,10,232.36
390,137,1304,9,393.22
391,138,938,5,475.62
392,138,174,7,392.61
393,138,1489,4,175.74
394,138,912,6,71.13
395,139,555,10,439.18
396,139,1353,8,262.51
397,140,230,8,176.02
398,140,1043,4,378.21
399,140,1274,7,146.86
400,141,1426,2,435.65
401,141,859,4,163.3
402,142,358,3,209.56
403,142,1168,7,107.01
404,142,1234,4,165.92
405,143,1343,7,248.05
406,144,1200,2,131.25
407,145,614,2,291.77
408,145,302,2,203.47
409,145,563,10,167.6
410,146,1126,6,456.61
411,147,50,6,17.37
412,147,1018,4,101.3
413,147,93,7,135.05
414,147,841,9,88.2
415,147,1229,1,308.06
416,148,183,3,455.32
417,149,1186,7,310.96
418,149,205,8,53.08
419,150,147,4,371.1
420,150,113,3,310.49
421,150,614,5,333.05
422,150,314,8,49.22
423,151,877,9,65.03
424,151,1343,7,57.23
425,151,1340,7,313.7
426,151,654,10,319.76
427,152,850,7,119.77
428,152,373,2,380.32
429,152,313,8,387.0
430,152,146,8,371.2
431,153,415,10,200.9
432,153,1321,10,297.49
433,153,929,10,235.14
434,153,563,1,457.14
435,154,668,10,210.75
436,154,72,8,182.71
437,154,675,7,81.38
438,154,1025,3,489.66
439,154,1471,7,472.51
440,155,1022,6,410.52
441,155,220,1,226.96
442,155,428,5,147.25
443,156,1078,1,230.3
444,156,1044,8,196.33
445,156,1160,9,103.35
446,156,1150,1,221.95
447,157,293,9,456.34
448,157,720,5,320.89
449,157,1370,7,294.91
450,157,68,6,279.67
451,158,1209,3,14.29
452,159,61,5,291.72
453,159,1122,2,179.46
454,160,1167,4,5.48
455,160,98,9,18.86
456,161,74,8,42.32
457,161,1044,4,383.71
458,161,505,10,118.93
459,161,606,10,274.94
460,161,94,1,427.49
461,162,705,7,189.68
462,162,222,5,478.24
463,162,558,3,380.17
464,162,1082,7,22.83
465,162,246,3,43.02
466,163,461,9,240.58
467,164,515,9,183.46
468,165,90,4,147.75
469,165,629,5,295.98
470,166,1046,2,279.18
471,166,1110,10,311.87
472,166,1066,10,371.9
473,167,1454,4,311.21
474,167,727,6,318.32
475,167,1474,7,333.23
476,167,790,6,8.74
477,167,1489,8,360.45
478,168,574,1,369.15
479,168,476,5,224.68
480,169,38,10,408.78
481,169,471,7,101.47
482,170,363,10,382.84
483,170,1332,7,157.58
484,170,255,2,428.12
485,170,822,3,431.77
486,170,766,10,429.13
487,171,989,10,373.51
488,171,72,10,351.86
489,171,711,2,181.4
490,172,791,3,184.18
491,172,577,1,310.13
492,172,224,1,202.12
493,172,1356,9,418.36
494,172,634,4,88.13
495,173,486,5,86.3
496,173,981,5,367.98
497,173,1286,1,25.49
498,173,693,8,96.72
499,174,801,6,420.83
500,174,1313,7,57.68
501,174,896,8,302.03
502,175,692,3,99.3
503,176,1488,8,114.36
504,176,293,10,98.11
505,176,510,8,488.78
506,177,69,10,119.08
507,177,577,8,230.81
508,177,61,4,349.22
509,177,1026,6,404.13
510,178,1214,9,105.13
511,178,883,9,438.4
512,178,837,6,430.03
513,178,1224,10,18.63
514,178,731,5,476.08
515,179,1012,6,404.08
516,179,1177,10,258.58
517,179,963,1,424.57
518,179,1168,8,102.94
519,179,563,6,20.37
520,180,1299,10,42.16
521,180,1049,6,494.03
522,180,1322,3,240.49
523,180,317,6,366.54
524,181,780,5,149.52
525,181,1404,8,334.45
526,181,377,1,253.12
527,181,591,6,11.82
528,182,795,3,265.15
529,182,1447,2,131.65
530,182,414,1,401.96
531,182,58,10,378.08
532,183,859,9,345.8
533,183,1085,8,336.59
534,184,138,2,317.55
535,185,719,2,135.49
536,185,1379,3,289.8
537,185,9,4,320.91
538,185,602,4,141.84
539,186,495,7,48.98
540,186,1074,5,216.86
541,186,586,5,431.33
542,187,279,8,223.96
543,188,583,9,343.33
544,188,786,2,117.21
545,188,213,8,455.44
546,188,107,2,385.81
547,188,1447,7,292.31
548,189,1249,9,298.66
549,190,1359,2,91.76
550,191,6,2,237.07
551,191,83,10,27.04
552,191,243,6,493.51
553,191,1055,2,368.34
554,192,739,10,168.79
555,192,770,10,462.96
556,192,590,4,374.99
557,192,1128,4,453.46
558,192,383,5,364.99
559,193,682,5,15.36
560,193,369,4,80.33
561,193,932,1,179.5
562,193,802,8,313.42
563,194,180,6,116.71
564,194,99,8,91.72
565,194,895,9,220.06
566,195,1229,6,202.28
567,195,135,1,200.71
568,196,895,3,428.55
569,197,721,6,419.67
570,197,1052,1,118.25
571,197,1392,3,474.25
572,197,1363,2,69.98
573,198,558,6,34.73
574,198,296,10,472.54
575,198,1482,5,277.9
576,198,626,4,72.64
577,199,31,9,223.3
578,199,863,2,358.19
579,199,55,9,296.4
580,199,525,8,445.74
581,200,532,5,304.47
582,200,933,1,21.61
583,200,444,2,459.16
584,201,39,7,168.38
585,201,983,4,472.28
586,201,1242,9,431.62
587,201,1492,3,279.98
588,202,580,3,314.5
589,203,1312,10,45.28
590,203,8,10,183.21
591,203,439,3,218.03
592,203,939,9,16.43
593,204,1359,5,311.31
594,204,716,7,162.8
595,204,1152,6,183.95
596,205,554,8,381.07
597,205,479,10,219.79
598,205,215,5,14.61
599,206,360,8,31.3
600,207,690,5,135.4
601,207,122,9,470.12
602,207,318,8,146.71
603,208,384,10,493.44
604,208,45,4,313.36
605,209,165,7,201.79
606,209,1071,9,42.32
607,209,1481,6,182.83
608,210,680,5,447.99
609,210,876,1,382.53
610,210,1023,1,262.57
611,211,1022,8,183.11
612,211,878,9,188.53
613,211,1241,9,103.01
614,212,33,5,445.97
615,212,426,6,72.88
616,212,985,8,342.96
617,212,742,3,386.27
618,212,994,1,317.82
619,213,862,2,392.17
620,213,162,3,455.23
621,213,237,5,226.24
622,214,225,1,174.74
623,214,158,8,485.09
624,214,1493,1,63.65
625,214,177,5,64.86
626,215,1388,5,106.76
627,215,805,3,327.36
628,215,725,7,85.25
629,215,766,5,15.36
630,215,980,6,174.26
631,216,464,3,363.79
632,217,438,5,94.31
633,217,1397,8,427.47
634,217,1197,8,240.61
635,218,163,4,232.33
636,218,878,5,478.19
637,218,1468,6,455.53
638,218,1432,7,136.88
639,219,77,4,271.41
640,219,1331,10,169.1
641,219,94,5,294.05
642,219,67,5,151.16
643,220,1031,1,235.97
644,220,1272,2,409.1
645,221,1231,4,43.05
646,221,73,5,23.59
647,221,1487,5,257.29
648,222,698,3,145.31
649,222,1381,4,10.52
650,223,290,3,99.15
651,224,330,1,447.61
652,224,89,5,95.64
653,224,1193,6,61.64
654,224,599,1,297.43
655,225,33,10,176.01
656,226,948,8,35.32
657,226,1145,10,284.62
658,226,314,7,142.34
659,226,909,1,306.25
660,226,1475,7,51.09
661,227,186,10,333.36
662,228,521,4,388.68
663,228,513,9,168.06
664,228,1387,10,235.66
665,228,631,7,73.77
666,228,733,7,451.59
667,229,822,1,214.2
668,229,1034,3,147.09
669,229,292,2,431.73
670,230,536,5,407.05
671,231,1045,6,24.42
672,231,1447,8,484.55
673,231,127,8,221.16
674,231,1078,9,173.23
675,231,14,4,279.03
676,232,870,9,214.2
677,233,259,2,30.64
678,234,1150,3,341.01
679,234,228,3,366.66
680,234,814,1,374.3
681,235,603,2,163.26
682,236,495,1,250.01
683,237,403,4,296.36
684,238,129,8,430.32
685,238,57,1,258.97
686,238,95,6,215.29
687,238,19,10,32.26
688,238,877,8,494.98
689,239,1271,1,130.1
690,239,15,8,182.69
691,239,273,4,188.59
692,239,714,4,10.69
693,239,886,6,357.66
694,240,1000,3,474.74
695,240,342,7,385.83
696,240,349,9,190.16
697,240,971,1,275.52
698,241,595,5,480.42
699,241,171,2,473.03
700,241,338,3,380.73
701,242,1242,3,297.62
702,242,645,3,285.03
703,243,905,6,132.8
704,243,1416,1,110.25
705,243,1333,5,64.57
706,243,999,10,224.28
707,243,12,3,342.02
708,244,526,2,459.68
709,244,1350,7,121.81
710,244,1265,5,125.75
711,244,464,4,29.0
712,244,241,1,52.16
713,245,1131,10,380.37
714,245,11,6,107.56
715,246,1070,10,68.83
716,247,533,3,279.88
717,248,791,4,252.79
718,248,350,6,317.74
719,248,1400,6,425.52
720,249,1431,3,187.36
721,249,1387,5,169.46
722,249,945,4,384.88
723,249,302,2,133.09
724,249,992,2,223.07
725,250,194,3,228.21
726,250,152,6,460.73
727,251,871,1,76.4
728,251,790,9,301.95
729,252,1101,4,431.87
730,252,660,7,216.31
731,252,196,9,119.84
732,252,868,3,457.74
733,252,1086,10,180.94
734,253,1109,10,6.18
735,254,589,6,7.28
736,254,505,2,273.86
737,254,118,10,91.38
738,254,192,3,226.9
739,255,1469,7,347.14
740,255,1354,5,365.91
741,256,319,2,492.93
742,256,1221,1,475.81
743,256,1361,6,73.92
744,257,429,6,111.22
745,257,378,1,40.61
746,258,1406,10,440.82
747,258,998,7,286.68
748,258,219,6,269.24
749,258,1105,4,62.81
750,259,224,8,216.52
751,260,689,2,303.06
752,260,832,7,77.54
753,260,754,2,78.77
754,261,1372,8,242.18
755,261,337,2,108.86
756,262,259,7,460.12
757,262,1132,9,451.75
758,262,1135,2,357.18
759,263,578,6,433.46
760,263,1207,4,188.69
761,263,789,8,245.94
762,264,1046,6,129.72
763,264,616,6,102.43
764,264,438,8,64.89
765,264,620,7,184.87
766,264,557,2,315.78
767,265,575,10,115.87
768,265,334,1,148.13
769,265,353,4,10.67
770,266,542,10,103.06
771,267,10,9,33.89
772,267,1092,4,404.54
773,267,472,7,322.41
774,267,198,8,436.74
775,268,123,4,259.41
776,268,800,2,50.89
777,269,1281,9,104.48
778,270,637,1,42.4
779,270,441,1,92.4
780,271,993,7,34.73
781,271,1305,5,131.78
782,271,1133,4,64.0
783,271,1084,5,269.5
784,271,1486,2,315.37
785,272,290,4,445.02
786,273,478,3,245.1
787,274,1318,2,80.97
788,275,66,2,25.93
789,275,870,3,15.58
790,275,53,3,400.7
791,276,447,6,392.55
792,276,275,6,399.13
793,276,1300,10,199.35
794,276,755,9,169.65
795,276,115,6,495.17
796,277,1191,9,30.08
797,277,1446,6,362.13
798,278,264,1,302.8
799,278,240,10,211.45
800,279,1205,1,144.33
801,279,790,9,50.01
802,280,175,2,374.03
803,280,1017,2,209.59
804,280,520,2,282.75
805,280,1193,5,158.91
806,280,395,1,390.65
807,281,299,7,242.79
808,282,1198,9,161.21
809,282,342,4,423.18
810,282,1281,4,331.83
811,282,949,6,295.17
812,283,1053,8,229.56
813,284,17,6,398.36
814,284,876,5,133.07
815,285,893,6,112.21
816,285,902,3,417.7
817,285,890,9,416.04
818,285,1188,7,101.8
819,286,508,4,13.06
820,286,127,3,114.45
821,287,1335,8,456.0
822,287,455,2,396.07
823,288,625,10,165.64
824,289,1054,6,340.14
825,289,800,8,434.12
826,289,129,2,343.9
827,290,978,10,7.73
828,290,1268,1,34.02
829,290,521,1,344.67
830,291,1064,4,410.33
831,291,263,1,268.03
832,291,780,8,385.81
833,292,146,1,43.85
834,292,527,2,490.89
835,292,314,3,375.57
836,292,1494,10,256.19
837,292,1356,4,203.54
838,293,152,7,139.51
839,293,1216,1,86.55
840,294,571,2,220.87
841,294,510,2,23.98
842,294,1336,9,412.24
843,295,1064,7,365.64
844,295,607,4,164.03
845,296,787,1,272.53
846,296,244,8,404.54
847,297,1082,8,98.7
848,297,527,6,209.7
849,297,309,4,171.32
850,298,550,1,232.87
851,298,319,10,159.36
852,299,214,8,233.04
853,299,1439,5,10.64
854,299,1348,8,338.53
855,299,360,4,239.69
856,300,1323,5,351.88
857,300,768,1,109.9
858,300,39,10,406.59
859,300,1127,6,286.79
860,301,1208,6,174.72
861,301,325,7,145.73
862,301,202,9,16.08
863,301,836,9,318.66
864,302,672,1,333.05
865,303,481,3,265.7
866,303,334,2,254.98
867,304,440,4,367.09
868,304,121,8,302.39
869,304,1424,5,249.4
870,305,531,7,289.7
871,305,1047,2,64.49
872,305,1241,4,259.66
873,306,363,5,245.99
874,306,377,2,216.23
875,306,344,1,369.54
876,307,581,9,326.15
877,307,790,2,190.43
878,307,1425,6,47.03
879,307,582,7,457.45
880,308,1051,4,424.25
881,308,925,9,395.22
882,309,1042,10,432.27
883,309,405,6,196.17
884,309,1040,4,343.6
885,309,239,4,451.53
886,309,703,2,5.98
887,310,1181,4,113.47
888,310,1475,5,18.58
889,310,305,4,342.26
890,310,1399,10,283.44
891,310,951,8,111.18
892,311,559,4,116.7
893,312,1383,2,435.86
894,312,698,10,216.62
895,313,680,10,120.89
896,313,1460,7,427.88
897,313,485,6,192.54
898,314,1201,10,323.71
899,315,597,5,360.98
900,315,587,3,323.74
901,315,814,2,390.14
902,316,1465,2,496.13
903,317,446,8,339.7
904,317,791,10,407.17
905,318,610,1,208.5
906,318,158,1,359.05
907,318,356,5,383.77
908,318,48,4,142.02
909,319,933,4,272.46
910,319,465,4,396.13
911,319,724,6,48.78
912,320,276,7,460.86
913,320,1071,4,367.99
914,321,1349,10,297.37
915,321,392,4,130.25
916,321,926,1,383.22
917,321,766,10,463.81
918,321,581,6,316.62
919,322,1357,4,363.51
920,322,84,6,419.61
921,322,751,2,347.75
922,322,413,9,228.4
923,322,119,6,278.69
924,323,549,1,127.34
925,323,406,5,219.14
926,324,1208,5,402.15
927,325,238,3,116.05
928,325,1024,8,495.73
929,325,1255,5,172.15
930,325,1197,1,206.52
931,326,1242,1,186.12
932,326,1154,8,387.7
933,326,426,1,173.1
934,326,907,8,100.67
935,326,1062,2,106.39
936,327,698,7,334.03
937,327,1325,5,353.69
938,327,583,4,84.61
939,327,771,5,119.18
940,327,1233,7,370.18
941,328,1302,5,265.82
942,329,625,10,130.26
943,329,446,4,57.67
944,329,566,9,264.02
945,329,1149,4,189.15
946,329,418,7,211.81
947,330,1276,10,224.84
948,330,447,4,189.72
949,330,497,8,290.66
950,331,905,7,209.94
951,331,129,9,197.0
952,331,960,10,120.98
953,331,651,2,494.3
954,331,526,3,411.69
955,332,1495,9,440.21
956,332,463,4,231.69
957,333,122,5,227.68
958,333,429,7,87.86
959,334,1126,10,340.38
960,334,1243,7,382.31
961,334,1272,1,402.51
962,334,616,10,109.06
963,335,661,4,423.85
964,336,1237,5,38.85
965,336,152,4,434.81
966,336,734,8,436.43
967,337,190,2,9.51
968,337,1184,4,320.0
969,337,22,10,81.43
970,338,505,1,444.97
971,339,839,5,195.91
972,339,497,10,405.34
973,340,1397,6,352.36
974,340,1049,6,92.63
975,340,421,9,147.68
976,340,31,2,121.12
977,341,1397,3,368.37
978,341,287,7,447.26
979,341,894,5,268.66
980,341,891,2,15.19
981,341,1245,4,83.76
982,342,229,2,19.98
983,343,440,8,195.74
984,343,106,3,220.77
985,343,731,7,354.63
986,343,280,5,473.24
987,343,1008,8,184.65
988,344,431,10,123.23
989,344,985,4,370.34
990,344,84,8,175.46
991,344,465,2,116.13
992,345,336,7,286.49
993,345,1206,10,472.78
994,346,913,2,61.08
995,346,166,9,14.57
996,346,215,2,164.48
997,346,1255,9,224.51
998,347,1391,5,221.67
999,347,710,10,28.63
1000,347,1404,3,303.3
1001,348,324,1,253.43
1002,348,1238,5,391.25
1003,348,1073,6,142.67
1004,348,1226,10,484.28
1005,349,409,9,29.01
1006,349,401,7,335.49
1007,349,434,9,448.82
1008,349,163,6,364.42
1009,349,1390,6,75.36
1010,350,654,7,90.78
1011,350,257,7,269.92
1012,351,1090,4,181.34
1013,351,471,10,399.8
1014,351,1358,3,404.37
1015,351,1170,5,224.56
1016,352,1234,2,207.9
1017,353,495,8,175.51
1018,353,1077,6,230.85
1019,353,536,3,443.93
1020,353,244,9,14.93
1021,354,350,2,49.2
1022,354,152,7,80.43
1023,354,1022,3,484.87
1024,355,753,3,141.03
1025,355,1383,8,12.79
1026,356,1171,6,126.43
1027,356,1410,8,364.23
1028,356,542,7,411.29
1029,356,337,1,433.95
1030,356,1140,10,490.75
1031,357,319,1,405.88
1032,357,850,9,158.89
1033,357,475,8,405.58
1034,358,258,3,174.98
1035,358,901,9,301.8
1036,359,520,9,361.41
1037,359,1425,6,190.04
1038,360,918,8,483.61
1039,360,80,8,158.18
1040,360,1066,2,247.78
1041,360,800,8,42.95
1042,361,381,8,108.93
1043,362,1372,1,185.4
1044,362,1344,3,20.44
1045,362,275,6,297.61
1046,363,525,9,116.01
1047,363,311,10,357.64
1048,363,1180,4,181.37
1049,363,684,5,109.01
1050,364,1007,4,377.13
1051,364,738,9,345.81
1052,364,817,10,222.39
1053,364,802,2,32.52
1054,364,1173,10,197.99
1055,365,569,3,344.94
1056,365,1144,4,44.1
1057,365,1463,8,433.36
1058,365,315,6,152.61
1059,366,477,9,432.63
1060,366,1467,4,161.92
1061,367,1139,2,446.88
1062,367,893,8,255.2
1063,368,870,2,250.44
1064,368,687,2,276.3
1065,369,6,7,371.57
1066,369,1163,3,149.06
1067,369,927,6,71.24
1068,369,620,10,266.86
1069,370,261,4,304.52
1070,370,290,5,84.58
1071,370,1178,9,218.65
1072,370,280,4,362.54
1073,371,696,6,298.75
1074,371,1234,5,80.52
1075,371,391,5,44.03
1076,371,1254,2,381.92
1077,371,691,5,173.59
1078,372,59,6,25.84
1079,372,1080,9,154.34
1080,373,134,7,43.08
1081,373,27,10,167.26
1082,374,203,10,145.56
1083,374,196,2,420.22
1084,374,589,2,253.74
1085,374,768,2,418.43
1086,375,1113,6,225.26
1087,375,1020,5,386.4
1088,376,122,1,20.4
1089,376,355,7,457.93
1090,376,728,8,73.16
1091,376,193,4,487.56
1092,376,458,9,274.64
1093,377,1287,5,364.33
1094,377,588,6,18.45
1095,378,1365,3,194.39
1096,378,1287,7,272.94
1097,378,346,7,33.01
1098,378,361,10,243.29
1099,378,625,5,214.95
1100,379,1497,5,106.77
1101,380,766,9,16.01
1102,380,675,5,23.93
1103,380,1104,7,490.09
1104,381,215,5,118.67
1105,381,950,1,497.29
1106,381,1135,3,365.21
1107,381,265,6,219.74
1108,382,79,6,414.61
1109,383,412,3,298.42
1110,383,182,4,283.57
1111,384,75,6,38.36
1112,384,483,3,215.95
1113,384,129,2,15.65
1114,384,1252,1,294.99
1115,384,837,2,453.03
1116,385,496,2,409.53
1117,385,1150,7,154.93
1118,385,1305,10,268.88
1119,386,823,9,264.52
1120,386,632,6,245.73
